X,Y,Z,out
755,64,-209,-0.996466642
-965,577,434,0.494924608
539,353,-83,-0.968364461
-297,-993,808,-0.573431265
-507,-350,531,-0.283633279
-734,-611,212,0.039760639
700,-145,-919,-0.996461576
-94,-32,-106,0.834223361
-197,977,518,-0.999376481
352,-122,-167,0.475550187
-543,438,-595,-0.249510927
62,-35,10,-0.544021111
777,726,610,0.506417628
-27,909,909,-0.471572549
-618,-600,898,-0.999023479
769,353,147,0.609044022
557,78,833,-0.459957024
373,814,643,-0.946848619
662,945,225,-0.814233474
440,-629,623,0.821852185
-63,-26,348,0.646919322
-710,-462,-645,-0.982774011
204,-910,457,-0.994829853
-144,-884,-413,0.99287624
911,-320,974,0.106077435
-819,-804,-745,0.969474151
-100,-597,69,-0.114784814
800,-65,670,-0.745153368
267,-486,967,-0.573307779
-406,994,-321,0.30893672
801,-866,-852,0.58784378
846,-847,627,-0.968349415
-343,-541,517,0.978444126
240,756,-335,-0.432232312
-777,811,-354,0.891977616
-742,-901,-454,-0.999205633
-971,-614,-956,-0.18037115
-901,-956,-372,-0.961405786
-819,-915,-280,0.387809421
-387,-209,-821,-0.083989475
-6,-817,-845,-0.088308633
-958,763,412,-0.918306654
775,654,-78,-0.513978456
-69,-175,790,-0.993895307
-957,372,-239,0.275134357
489,931,761,0.46374875
645,773,136,0.98588649
-382,816,-139,0.686530388
234,-287,497,0.587819394
579,-456,-983,-0.313142899
-365,-129,26,-0.981105523
288,-345,-716,0.27935761
634,-557,-616,-0.245310432
-303,516,606,0.711753582
-472,-251,837,0.946877705
199,-244,-416,-0.96612555
-901,-319,903,0.127993586
-486,773,-626,0.98588649
-966,-62,-857,0.673507162
-702,-26,-691,0.646919322
151,-11,-800,-0.893969648
-600,942,849,0.888010494
535,-28,476,-0.998813757
719,381,809,-0.999204432
-658,-239,-570,0.971585056
-151,-460,-914,-0.202061315
661,483,678,-0.551376386
711,-363,-215,-0.980245622
549,-699,479,0.995689783
-687,-607,-860,-0.782193329
-223,-376,706,0.756763087
390,-403,-856,-0.996474233
60,650,-501,-0.952431355
-771,179,-289,-0.997496053
1000,-37,981,0.733251814
725,-567,719,0.412063554
31,-74,-11,0.999990207
202,-133,908,-0.079638689
-599,-949,-139,-0.696080131
286,-79,292,0.167325981
-376,836,-67,0.943964243
932,726,-975,-0.894037181
-599,709,600,0.540353036
938,306,658,-0.986637417
-899,896,323,-0.798441742
761,682,-535,-0.801170676
-304,705,-186,0.283604373
502,-718,-785,0.387726064
318,672,254,0.95509151
64,207,347,0.941036507
-602,906,912,0.342409814
-411,-476,-263,0.779447185
732,67,-414,0.636714763
-769,-766,-579,0.85325155
-870,234,219,0.048633501
592,-717,903,-0.97846902
-241,998,-461,0.517847165
-861,-54,-657,-0.829309833
-961,-177,816,0.479412311
-637,440,188,0.984371335
292,742,19,0.834190114
298,-682,648,0.7392213
-188,-496,-882,-0.708616602
836,-295,937,0.721100368
835,993,699,0.96722763
-863,-865,700,0.543970523
-115,375,-328,-0.408054541
-684,327,-9,0.9625977
395,364,-942,0.459823187
-39,167,781,-0.879688592
818,943,226,0.866721987
-515,462,558,-0.982774011
-327,862,-967,0.358988018
606,265,467,0.889981859
196,336,-211,-0.988709136
771,110,-288,0.855504371
-98,908,226,-0.996823795
263,169,964,0.451945119
247,-231,890,-0.801188715
-472,-58,-477,0.119180135
560,-384,919,0.996461576
-585,576,313,-0.463775457
469,305,19,0.14987721
-29,709,506,0.540353036
915,-339,-1000,-0.826879541
-273,378,-870,0.532807511
-252,513,617,-0.605503885
371,-265,-227,-0.721058597
-586,-469,-256,-0.61949695
